Etat;Entreprise;Secteur;Période;Devise;Région;Pays;Poste;2020;2021;2022;2023;2024;2025;2026;2027
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Vente (achat) d'immobilisations incorporelles;-2673000.0;-2705000.0;-3673000.0;-2911000.0;-2319000.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Investissements en titres négociables et en actions, total;-13634000.0;15758000.0;21727000.0;44772000.0;-31789000.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Autres activités d'investissement, total;-57200.0;8130.0;-413000.0;-914000.0;17110.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Flux de trésorerie d'investissement;-53629000.0;-33048000.0;-31603000.0;-16923000.0;-85382000.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dette à long terme émise, total;14500.0;58280.0;272000.0;355000.0;405000.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Total de la dette émise;2206000.0;58280.0;272000.0;2500000.0;6276000.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Remboursement de la dette à long terme, total;-865000.0;-895000.0;-1508000.0;-1220000.0;-1365000.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Total de la dette remboursée;-865000.0;-3512000.0;-9848000.0;-1220000.0;-1365000.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Émission d'actions ordinaires;Nan;Nan;Nan;Nan;Nan;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Rachat d'actions ordinaires;Nan;Nan;Nan;Nan;-1812000.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dividendes ordinaires payés;-9677000.0;-20510000.0;-9814000.0;-9864000.0;-10889000.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dividendes ordinaires et de préférence payés;-9677000.0;-20510000.0;-9814000.0;-9864000.0;-10889000.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Autres activités de financement, total;8190.0;-27270.0;-6.0;-9120.0;-8510.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Flux de trésorerie de financement;-8328000.0;-23991000.0;-19390000.0;-8593000.0;-7797000.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Ajustements des taux de change;-834000.0;1582000.0;-539000.0;793000.0;4821000.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Variation nette de la trésorerie;2497000.0;9649000.0;10649000.0;19400000.0;-15375000.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Variation du fonds de roulement net;-8834000.0;5686000.0;10221000.0;5098000.0;231000.0;;;
Flux de trésorerie;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dette nette émise (remboursée);1341000.0;-3453000.0;-9576000.0;1281000.0;4912000.0;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Rentabilité des actifs (ROA);6.16;8.02;6.2;0.91;4.22;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Rentabilité du capital total (ROTC);7.79;10.42;7.88;1.11;5.13;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Rentabilité des capitaux propres (ROE);9.8;13.74;16.87;4.31;9.0;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Rentabilité des capitaux propres ordinaires;9.99;13.92;17.07;4.14;9.03;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Marge brute %;38.98;40.48;37.12;30.33;37.99;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Marge après frais de vente, généraux et administratifs %;13.99;13.26;13.78;15.95;14.68;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Marge EBITA %;16.37;19.41;15.35;3.71;11.87;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Marge d'EBIT %;15.2;18.47;14.35;2.54;10.88;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Marge des activités poursuivies %;11.15;14.27;18.41;5.98;11.45;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Marge nette %;11.02;14.04;18.11;5.59;11.17;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Net Avail. Pour la marge commune %;11.02;14.04;18.11;5.59;11.17;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Marge nette normalisée %;9.43;11.63;9.28;2.26;7.53;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Marge des flux de trésorerie libre pour les actionnaires;8.88;3.84;0.8;-9.05;2.85;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Rotation des actifs;0.65;0.69;0.69;0.57;0.62;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Rotation des actifs corporels;1.9;2.01;1.9;1.46;1.53;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Rotation des créances (moyenne des créances);7.17;7.8;7.91;7.16;7.5;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Current Ratio;2.62;2.48;2.79;2.59;2.43;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Quick Ratio;2.11;1.92;2.01;1.79;1.78;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Délai de recouvrement des créances (moyenne des créances);51.08;46.78;46.15;51.01;48.82;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Délais de paiement des fournisseurs;22.55;24.08;21.9;22.29;23.22;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dette totale / Capital total;6.83;5.69;2.83;3.37;4.59;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dette à long terme / Capitaux propres;1.07;1.11;1.15;1.17;0.98;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dette à long terme / Capital total;1.0;1.04;1.12;1.13;0.94;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dette totale / Total de l'actif;27.04;28.53;20.89;20.23;21.83;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;EBIT / Charges d'intérêt;61.74;119.65;56.85;7.06;36.2;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;EBITDA / Charges d'intérêt;112.99;198.27;107.9;48.53;83.37;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;(EBITDA - Capex) / Charges d'intérêt;48.51;89.07;43.12;-13.4;26.5;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dette totale / EBITDA;0.31;0.21;0.13;0.28;0.26;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dette nette / EBITDA;-1.59;-1.24;-1.27;-1.77;-1.24;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dette totale / (EBITDA - Capex);0.71;0.48;0.31;-1.02;0.81;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dette nette / (EBITDA - Capex);-3.69;-2.75;-3.19;6.4;-3.9;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Résultat brut, Croissance 1 an;11.01;22.61;-0.89;-29.99;45.53;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;EBITDA, 1 an Croissance en %;15.34;30.63;-4.18;-45.83;68.37;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;EBITA, 1 an Croissance en %;27.02;40.03;-14.54;-79.27;271.32;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;EBIT, 1 an Croissance %;29.62;43.45;-15.99;-84.86;398.34;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Bénéfices des activités poursuivies, Croissance 1 an;21.48;51.12;39.46;-72.17;122.45;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Résultat net, Croissance 1 an;21.32;50.41;39.46;-73.56;132.3;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Résultat net normalisé sur 1 an;19.69;45.44;-13.76;-79.12;287.0;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;BPA dilué avant extra, 1 an de croissance;21.32;50.41;39.46;-73.56;132.3;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Créances clients, Croissance sur 1 an;-11.86;31.48;-12.26;2.59;19.03;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Immobilisations corporelles nettes, 1 an Croissance;7.62;16.27;12.08;11.43;9.98;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Total des actifs, 1 an Croissance en %;7.28;12.79;5.11;1.67;12.86;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Actif corporel net, Croissance 1 an;6.22;10.68;17.67;1.67;11.33;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Capitaux Propres ordinaires, Croissance 1 an;5.0;10.67;16.52;2.33;10.89;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;CAPEX, Croissance 1 an;48.19;25.35;4.9;16.55;-10.77;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Flux de trésorerie libre pour les actionnaires FCFE, Croissance 1 an;72.29;-48.97;-77.49;-1.07;-136.55;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dividende par action, 1 an de croissance;0.0;1.98;0.0;0.0;0.14;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Résultat brut, CAGR sur 2 ans;-8.96;16.67;10.24;-16.7;0.94;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;EBITDA, 2 ans CAGR %;-12.57;22.75;11.88;-27.95;-4.5;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;EBITA, 2 ans CAGR %;-19.48;33.37;9.39;-57.91;-12.26;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;EBIT, 2 ans CAGR %;-21.82;36.36;9.78;-64.34;-13.14;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Bénéfices des activités poursuivies, CAGR sur 2 ans;-22.83;35.49;45.17;-37.7;-21.32;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Résultat net, CAGR sur 2 ans;-22.9;35.09;44.83;-39.27;-21.62;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Résultat net normalisé, CAGR sur 2 ans;-22.9;32.02;11.99;-57.57;-10.12;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;BPA dilué avant extra, 2 ans. CAGR %;-22.89;35.09;44.83;-39.27;-21.62;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Créances clients, CAGR sur 2 ans;-4.38;7.65;7.41;-5.12;10.51;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Immobilisations corporelles nettes, 2 ans CAGR %;5.7;11.86;14.16;11.76;10.7;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Total des actifs, 2 ans CAGR %;5.57;10.0;8.88;3.38;7.12;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Actif corporel net, CAGR sur 2 ans;5.11;8.43;14.12;9.38;6.39;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Capitaux Propres ordinaires, CAGR sur 2 ans;5.59;7.8;13.56;9.2;6.52;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;CAPEX, CAGR sur 2 ans;12.78;36.29;14.67;10.57;1.98;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Flux de trésorerie libre pour les actionnaires FCFE, CAGR sur 2 ans;-11.14;-6.23;-66.11;47.73;88.24;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dividende par action, 2 ans CAGR %;0.0;0.98;0.98;0.0;0.07;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Résultat brut, CAGR sur 3 ans;-5.76;0.54;10.5;-5.24;0.33;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;EBITDA, 3 ans CAGR %;-4.72;-0.05;13.02;-12.15;-4.39;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;EBITA, 3 ans CAGR %;-10.73;-3.17;14.98;-37.16;-13.03;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;EBIT, 3 ans CAGR %;-12.45;-4.29;16.03;-43.28;-14.1;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Bénéfices des activités poursuivies, CAGR sur 3 ans;-14.46;-3.45;36.8;-16.3;-4.78;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Résultat net, CAGR sur 3 ans;-14.23;-3.66;36.53;-17.83;-5.02;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Résultat net normalisé, CAGR sur 3 ans;-13.29;-4.7;14.55;-36.03;-11.35;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;BPA dilué avant extra, 3 ans. CAGR %;-13.77;-3.66;36.53;-17.83;-5.02;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Créances clients, CAGR sur 3 ans;3.79;6.33;0.56;5.78;2.33;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Immobilisations corporelles nettes, 3 ans CAGR %;4.91;9.11;11.93;13.24;11.16;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Total des actifs, 3 ans CAGR %;7.82;7.93;8.35;6.42;6.44;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Actif corporel net, CAGR sur 3 ans;8.89;6.94;11.43;9.81;10.03;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Capitaux Propres ordinaires, CAGR sur 3 ans;8.91;7.26;10.63;9.69;9.76;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;CAPEX, CAGR sur 3 ans;-4.23;16.82;24.9;15.29;2.94;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Flux de trésorerie libre pour les actionnaires FCFE, CAGR sur 3 ans;23.0;-26.14;-41.72;3.66;-7.26;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dividende par action, 3 ans CAGR %;18.54;0.65;0.65;0.65;0.05;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Résultat brut, CAGR sur 5 ans;3.65;6.77;0.34;-6.75;6.57;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;EBITDA, 5 ans CAGR %;6.8;11.51;1.6;-12.31;5.66;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;EBITA, 5 ans CAGR %;7.44;12.67;-3.17;-30.61;3.19;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;EBIT, 5 ans CAGR %;6.39;12.04;-4.16;-35.51;3.34;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Bénéfices des activités poursuivies, CAGR sur 5 ans;6.74;11.92;5.7;-18.97;9.65;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Résultat net, CAGR sur 5 ans;6.89;11.85;5.77;-19.9;9.35;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Résultat net normalisé, CAGR sur 5 ans;5.68;12.47;-3.92;-31.05;3.96;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;BPA dilué avant extra, 5 ans CAGR %;8.85;12.86;6.11;-19.9;9.35;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Créances clients, CAGR sur 5 ans;4.23;10.89;5.22;1.59;4.42;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Immobilisations corporelles nettes, 5 ans CAGR %;8.32;10.39;8.52;10.16;11.44;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Total des actifs, 5 ans CAGR %;9.33;10.23;8.24;6.08;7.85;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Capitaux Propres ordinaires, CAGR sur 5 ans;9.14;9.71;10.75;8.03;8.97;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;CAPEX, CAGR sur 5 ans;7.75;14.31;2.93;14.28;15.17;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Flux de trésorerie libre pour les actionnaires FCFE, CAGR sur 5 ans;26.48;-6.6;-26.55;-2.53;-6.85;;;
Ratios;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;Décembre;KRW en Millions;Asie;Coree Du Sud;Dividende par action, 5 ans CAGR %;27.52;20.43;11.18;0.39;0.42;;;
Ratios de valorisation;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;;KRW en Millions;Asie;Coree Du Sud;PER;21.1;13.6;6.86;36.8;10.7;15.1;11.6;9.75
Ratios de valorisation;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;;KRW en Millions;Asie;Coree Du Sud;PBR;2.06;1.58;0.96;1.33;0.81;1.08;1.0;0.92
Ratios de valorisation;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;;KRW en Millions;Asie;Coree Du Sud;PEG;Nan;0.3;0.2;-0.5;0.0;-1.3;0.4;0.5
Ratios de valorisation;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;;KRW en Millions;Asie;Coree Du Sud;Capitalisation / CA;2.3;1.88;1.23;2.01;1.18;1.35;1.28;1.21
Ratios de valorisation;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;;KRW en Millions;Asie;Coree Du Sud;Valeur Entreprise / CA;1.86;1.5;0.88;1.7;0.87;1.03;0.93;0.81
Ratios de valorisation;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;;KRW en Millions;Asie;Coree Du Sud;Valeur Entreprise / EBITDA;6.97;5.07;3.36;10.5;3.6;4.44;3.59;2.97
Ratios de valorisation;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;;KRW en Millions;Asie;Coree Du Sud;Valeur Entreprise / EBIT;12.2;8.14;6.15;67.3;7.96;11.0;7.5;5.85
Ratios de valorisation;SAMSUNG ELECTRONICS CO., LTD.;Téléphones et appareils portatifs - Autres;;KRW en Millions;Asie;Coree Du Sud;Valeur Entreprise / FCF;15.9;23.4;20.8;-32.7;12.1;15.2;11.1;8.08
